No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier,Links
1,1,KT-0603Y,4m,LED0603-R-RD,,KT-0603Y,KENTO,C2287,LCSC,https://www.lcsc.com/product-detail/C2287.html
2,1,KT-0603B,8m,LED0603-RD,,KT-0603B,KENTO,C2288,LCSC,https://www.lcsc.com/product-detail/C2288.html
3,1,KT-0603G,16m,LED0603-RD,,KT-0603G,KENTO,C12624,LCSC,https://www.lcsc.com/product-detail/C2287.html
4,1,KT-0603R,32m,LED0603-RD,,KT-0603R,KENTO,C2286,LCSC,https://www.lcsc.com/product-detail/C2286.html
5,1,2.7kHz,BUZZER1,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,2.7kHz,MLT-8530,华能,C94599,LCSC,https://www.lcsc.com/product-detail/C94599.html
6,2,100nF,"C1,C2",C0805,100nF,CC0805KRX7R9BB104,YAGEO(国巨),C49678,LCSC,https://www.lcsc.com/product-detail/C49678.html
7,2,10uF,"C3,C4",C0402,10uF,CL05A106MQ5NUNC,SAMSUNG(三星),C15525,LCSC,https://www.lcsc.com/product-detail/C15525.html
8,1,1N4148,D1,DO-35_BD1.7-L3.6-P10.00-D0.5-RD,,1N4148,DIOTEC(德欧泰克),C22434654,LCSC,https://www.lcsc.com/product-detail/C22434654.html
9,1,KT-0603O,LED2,LED0603-RD,,KT-0603O,KENTO,C111340,LCSC,https://www.lcsc.com/product-detail/C111340.html
10,1,KT-0603W,LED6,LED0603-R-RD_WHITE,,KT-0603W,KENTO,C2290,LCSC,https://www.lcsc.com/product-detail/C2290.html
11,1,S8050,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,S8050,CCX(晁禾),C51953468,LCSC,https://www.lcsc.com/product-detail/C51953468.html
12,6,150Ω,"R1,R2,R3,R4,R5,R6",R0805,150Ω,FRC0805J151 TS,FOJAN(富捷),C2907300,LCSC,https://www.lcsc.com/product-detail/C2907300.html
13,1,1kΩ,R7,R0603,1kΩ,FRC0603J102 TS,FOJAN(富捷),C2907113,LCSC,https://www.lcsc.com/product-detail/C2907113.html
14,6,TS-1088-AR02016,"SW1,SW2,SW3,SW4,SW5,SW6",SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(讯普),C720477,LCSC,https://www.lcsc.com/product-detail/C720477.html
15,1,RP2040-Tiny,U2,COMM-SMD_23P-P2.54-L23.5-W18.0_RP2040-TINY,,RP2040-Tiny,Waveshare(微雪电子),C7437606,LCSC,https://www.lcsc.com/product-detail/7437606.html
,,,,,,,,,,
