No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier	LCSC Part Name
1	1	KT-0603Y	4m	LED0603-R-RD		KT-0603Y	KENTO	C2287	LCSC	0603 黄灯 高亮
2	1	KT-0603B	8m	LED0603-RD		KT-0603B	KENTO	C2288	LCSC	0603 蓝灯 高亮
3	1	KT-0603G	16m	LED0603-RD		KT-0603G	KENTO	C12624	LCSC	0603 翠绿 高亮
4	1	KT-0603R	32m	LED0603-RD		KT-0603R	KENTO	C2286	LCSC	0603 红灯 高亮
5	1	2.7kHz	BUZZER1	BUZ-SMD_4P-L8.5-W8.5-P8.50-BR	2.7kHz	MLT-8530	华能	C94599	LCSC	无源(外部驱动) 电磁式 2.7kHz
6	2	100nF	C1,C2	C0805	100nF	CC0805KRX7R9BB104	YAGEO(国巨)	C49678	LCSC	100nF ±10% 50V
7	2	10uF	C3,C4	C0402	10uF	CL05A106MQ5NUNC	SAMSUNG(三星)	C15525	LCSC	10uF ±20% 6.3V
8	1	1N4148	D1	DO-35_BD1.7-L3.6-P10.00-D0.5-RD		1N4148	DIOTEC(德欧泰克)	C22434654	LCSC	1N4148
9	1	KT-0603O	LED2	LED0603-RD		KT-0603O	KENTO	C111340	LCSC	0603 橙灯 高亮
10	1	KT-0603W	LED6	LED0603-R-RD_WHITE		KT-0603W	KENTO	C2290	LCSC	0603 白灯 高亮
11	1	S8050	Q1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		S8050	CCX(晁禾)	C51953468	LCSC	S8050 hFE:120-400 NPN 晶体管 电流：500mA 电压：25V
12	6	150Ω	R1,R2,R3,R4,R5,R6	R0805	150Ω	FRC0805J151 TS	FOJAN(富捷)	C2907300	LCSC	150Ω ±5% 125mW 厚膜电阻
13	1	1kΩ	R7	R0603	1kΩ	FRC0603J102 TS	FOJAN(富捷)	C2907113	LCSC	1kΩ ±5% 100mW 厚膜电阻
14	6	TS-1088-AR02016	SW1,SW2,SW3,SW4,SW5,SW6	SW-SMD_L3.9-W3.0-P4.45		TS-1088-AR02016	XUNPU(讯普)	C720477	LCSC	4*3*2mm 立贴 轻触开关
15	1	RP2040-Tiny	U2	COMM-SMD_23P-P2.54-L23.5-W18.0_RP2040-TINY		RP2040-Tiny	Waveshare(微雪电子)	C7437606	LCSC	微雪RP2040-Tiny微型开发板 树莓派微控制器开发板 基于官方RP2040双核处理器 分体式USB接口设计 单板无配件
